laptop_brand,processor_brand,processor_number,number_of_cores,ram_generation,ram_amount,storage_type,storage_amount,screen_size,price,condition,url,laptop_id
Dell,intel,i5,2,ddr3,4gb,hdd,500 gb, 14``,31050,used,https://www.kupindo.com/Laptopovi/46993361_DELL-Latitude-i5-4GB-RAM-500GB-Akcija,46993361
Dell,intel,i5,2,ddr3,8gb,ssd,128gb,"12,5`",31050,used,https://www.kupindo.com/Laptopovi/46993593_Dell-Latitude-i5-8gb-RAM-128gb-SSD-Akcija,46993593
Samsung,intel,i5,2,ddr3,6gb,hdd,500gb,15``,31000,used,https://www.kupindo.com/Laptopovi/50941973_Samsung-RV520-i5-2-Gen-6GB-500hdd-1GB-Grafika-,50941973
Hewlett Packard,intel,i5,2,ddr3,4gb,hdd,500 gb,15.6`,30800,used,https://www.kupindo.com/Laptopovi/46864633_HP-ProBook-i5-4200M-4GB-500-GB-Akcija,46864633
Acer,intel,i5,2,ddr3,4gb,hdd,500gb,"15,6` ",30600,used,https://www.kupindo.com/Laptopovi/47005109_Acer-Aspire-i5-4gb-RAM-500-GB-dve-grafike-Akcija,47005109
Dell,intel,i5,2,ddr3,4 gb,hdd,500gb,15.6`,30600,used,https://www.kupindo.com/Laptopovi/47102345_Dell-i5-4-GB-RAM-500-GB-Intel-HD-Akcija,47102345
Hewlett Packard,intel,i5,2,ddr3,4gb,hdd,320gb,15.6`,30600,used,https://www.kupindo.com/Laptopovi/50224129_HP-8570p-i5-4GB-320GB-Intel-HD-4000-Akcija,50224129
Lenovo,intel,i3,2,ddr3,8gb,hdd,1TB,15``,30600,defective,https://www.kupindo.com/Laptopovi/52056477_Laptop-Lenovo-i3-8GB-1TB-2GB-AMD,52056477
Acer,intel,i5,2,ddr3,8gb,hdd,1TB,15``,30000,used,https://www.kupindo.com/Laptopovi/50844777_Acer-Aspire-E1-571-i5-3-Gen-8GB-1TBhdd-15-6,50844777
Acer,intel,i5,2,ddr3,8gb,hdd,,15``,30000,defective,https://www.kupindo.com/Laptopovi/53956365_lap-top-Acer-v3-571g,53956365
Hewlett Packard,intel,i5,2,ddr3,4 gb,hdd,, 14``,29999,defective,https://www.kupindo.com/Laptopovi/36864267_hp-eliteBook-8470p,36864267
Lenovo,intel,i7,2,ddr3,4gb,hdd,320 gb, 14``,29500,used,https://www.kupindo.com/Laptopovi/46557329_Lenovo-i7-4gb-320-gb-dve-grafike-Akcija,46557329
